datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2013-01-31,3993.5577956989246,4111.57123655914,4128.778225806452,4128.778225806452,4183.873655913979,4188.288978494624,4206.5362903225805,4067.0564516129034,4173.323924731183,4048.8736559139784,4184.0,4139.185483870968,4139.185483870968,4131.081989247312
2013-02-28,3966.4151785714284,3942.877976190476,3949.7291666666665,3949.7291666666665,3968.0238095238096,4013.5818452380954,4059.4866071428573,4113.7514880952385,3918.9568452380954,3905.2068452380954,3927.1130952380954,3943.0818452380954,3943.0818452380954,3942.3869047619046
2013-03-31,3875.804845222073,4328.873485868102,4342.321668909825,4342.321668909825,4343.234185733513,4353.401076716016,4439.4266487214,4110.820995962315,4341.794078061911,4328.28129205922,4383.846567967698,4352.297442799461,4352.297442799461,4336.240915208614
2013-04-30,3714.438888888889,4017.1736111111113,3862.198611111111,3862.198611111111,3872.976388888889,3903.473611111111,3986.447222222222,3858.023611111111,4172.541666666667,4162.561111111111,4185.608333333334,4047.2458333333334,4047.2458333333334,3977.9875
2013-05-31,3725.3440860215055,3680.5309139784945,3752.6290322580644,3752.6290322580644,3757.7620967741937,3776.5940860215055,3888.119623655914,3824.7580645161293,3623.3615591397847,3618.7405913978496,3623.9112903225805,3777.8870967741937,3777.8870967741937,3682.364247311828
2013-06-30,3458.123611111111,3375.4305555555557,3452.251388888889,3452.251388888889,3452.795833333333,3477.8541666666665,3698.6194444444445,3475.1027777777776,3296.329166666667,3294.133333333333,3299.2625,3469.961111111111,3469.961111111111,3430.9152777777776
2013-07-31,5118.961021505376,3642.0524193548385,3728.657258064516,3728.657258064516,3728.657258064516,3764.0954301075267,3859.5188172043013,3920.3387096774195,3570.755376344086,3563.4260752688174,3557.1545698924733,3700.4153225806454,3700.4153225806454,3688.4717741935483
2013-08-31,4089.8440860215055,3692.4327956989246,4148.181451612903,4148.181451612903,4148.181451612903,4179.212365591397,4323.959677419355,4250.659946236559,3469.0134408602153,3458.5147849462364,3469.055107526882,3787.8360215053763,3787.8360215053763,3761.5900537634407
2013-09-30,4207.716666666666,3866.4333333333334,4243.079166666666,4243.079166666666,4347.429166666667,4373.031944444445,4527.3125,4386.615277777778,3691.159722222222,3656.6041666666665,3673.748611111111,4151.777777777777,4151.777777777777,4003.7319444444443
2013-10-31,3639.6939597315436,3851.226845637584,4084.6859060402685,4084.6859060402685,4153.331543624161,4163.771812080537,4650.963758389262,4002.770469798658,3712.8174496644297,3687.351677852349,3711.008053691275,4096.812080536913,4096.812080536913,4087.1409395973155
2013-11-30,3891.4055555555556,3835.1375,3882.6222222222223,3882.6222222222223,3923.3180555555555,4200.030555555555,4082.3680555555557,4233.726388888889,3750.463888888889,3729.4166666666665,3750.448611111111,3884.616666666667,3884.616666666667,3884.8430555555556
2013-12-31,3088.483870967742,3388.1491935483873,3446.826612903226,3446.826612903226,3453.244623655914,3521.662634408602,3652.6236559139784,3299.989247311828,3367.9005376344085,3361.168010752688,3364.1612903225805,3400.7473118279568,3400.7473118279568,3398.7029569892475
2014-01-31,3276.717741935484,3358.0685483870966,3346.444892473118,3346.444892473118,3393.439516129032,3397.3830645161293,4049.805107526882,3357.694892473118,3235.4193548387098,3226.9206989247314,3098.092741935484,3363.2244623655915,3363.2244623655915,3363.7163978494623
2014-02-28,3028.3229166666665,2967.252976190476,3049.9226190476193,3049.9226190476193,3053.4806547619046,3172.1324404761904,3416.061011904762,3116.561011904762,2866.0520833333335,2818.535714285714,2828.8541666666665,3099.3065476190477,3099.3065476190477,3094.715773809524
2014-03-31,2738.9757738896365,2753.4226110363393,2820.686406460296,2820.686406460296,2840.441453566622,2906.8802153432034,3356.0390309555855,2828.4670255720052,2645.6123822341856,2621.492597577389,2620.7402422611035,2903.4885598923283,2903.4885598923283,2879.5720053835803
2014-04-30,2973.340277777778,2642.3819444444443,2814.8333333333335,2814.8333333333335,2838.026388888889,2893.3944444444446,3204.5847222222224,3032.6291666666666,2404.776388888889,2378.238888888889,2398.8694444444445,2849.704166666667,2849.704166666667,2835.7458333333334
2014-05-31,3368.32123655914,2723.7580645161293,3429.1451612903224,3429.1451612903224,3430.8548387096776,3460.5147849462364,3695.9112903225805,3500.97311827957,2128.581989247312,2129.185483870968,2128.581989247312,3367.0336021505377,3367.0336021505377,3357.4475806451615
2014-06-30,3062.8305555555557,2707.679166666667,3061.7972222222224,3061.7972222222224,3114.8597222222224,3136.7472222222223,3434.133333333333,3172.886111111111,2329.5,2328.9083333333333,2329.329166666667,3003.273611111111,3003.273611111111,2999.825
2014-07-31,3060.7836021505377,2921.2849462365593,3061.2795698924733,3061.2795698924733,3061.2795698924733,3071.043010752688,3753.1102150537636,3108.3024193548385,2745.1129032258063,2744.0618279569894,2736.456989247312,3036.4489247311826,3036.4489247311826,3019.0080645161293
2014-08-31,3122.1438172043013,3126.462365591398,3343.5846774193546,3343.5846774193546,3344.608870967742,3357.3333333333335,3648.9811827956987,3353.1720430107525,2914.5564516129034,2914.5564516129034,2904.0416666666665,3266.444892473118,3266.444892473118,3264.0389784946237
2014-09-30,3335.938888888889,3244.2986111111113,3409.498611111111,3409.498611111111,3409.5069444444443,3414.3180555555555,3717.913888888889,3485.851388888889,3067.7986111111113,3067.626388888889,3067.676388888889,3423.5430555555554,3423.5430555555554,3417.9819444444443
2014-10-31,2867.075167785235,2922.953020134228,3021.8724832214766,3021.8724832214766,3024.5838926174497,3034.453691275168,3657.4255033557047,3078.551677852349,2572.2308724832214,2572.308724832215,2571.675167785235,3152.9476510067116,3152.9476510067116,3143.8241610738255
