datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2013-01-01,2622.4583333333335,3173.4166666666665,3044.4166666666665,3044.4166666666665,3044.4166666666665,3044.4166666666665,3044.4166666666665,2624.625,3287.8333333333335,3287.8333333333335,3287.8333333333335,3271.625,3271.625,3271.625
2013-01-02,3700.5833333333335,3855.0833333333335,3848.125,3848.125,3848.125,3848.125,3848.125,3700.5833333333335,3875.4583333333335,3875.4583333333335,3875.4583333333335,3848.125,3848.125,3848.125
2013-01-03,4288.166666666667,4043.5,3989.9583333333335,3989.9583333333335,3989.9583333333335,3989.9583333333335,3989.9583333333335,4354.166666666667,4072.0833333333335,4072.0833333333335,4072.0833333333335,4012.9583333333335,4012.9583333333335,4012.9583333333335
2013-01-04,4629.333333333333,4741.708333333333,4629.333333333333,4629.333333333333,4629.333333333333,4629.333333333333,4629.333333333333,4629.333333333333,4780.791666666667,4780.791666666667,5135.833333333333,4629.333333333333,4629.333333333333,4629.333333333333
2013-01-05,3530.0,3877.0833333333335,3510.75,3510.75,3510.75,3510.75,3510.75,3530.0,4294.416666666667,4294.416666666667,4294.416666666667,3717.375,3717.375,3717.375
2013-01-06,3282.75,3330.0833333333335,3282.75,3282.75,3282.75,3282.75,3852.125,3315.2083333333335,3282.7083333333335,3282.7083333333335,3282.7083333333335,3282.75,3282.75,3282.75
2013-01-07,3196.3333333333335,3263.9583333333335,3183.9583333333335,3183.9583333333335,3183.9583333333335,3231.9583333333335,4271.0,3266.2083333333335,3169.25,3169.25,3168.4166666666665,3183.9583333333335,3183.9583333333335,3183.9583333333335
2013-01-08,4031.5833333333335,3621.2916666666665,3817.0416666666665,3817.0416666666665,3817.0416666666665,3843.0,3820.1666666666665,4050.2083333333335,3497.9583333333335,3497.9583333333335,3474.7083333333335,3638.0833333333335,3638.0833333333335,3638.0833333333335
2013-01-09,2890.6666666666665,3255.0,3419.1666666666665,3419.1666666666665,3419.1666666666665,3419.1666666666665,3419.1666666666665,3419.1666666666665,3178.75,3178.75,3178.75,3419.1666666666665,3419.1666666666665,3419.1666666666665
2013-01-10,4779.583333333333,4135.583333333333,4878.166666666667,4878.166666666667,5148.375,5204.458333333333,5148.375,5209.958333333333,3814.625,3723.1666666666665,3814.625,4847.5,4847.5,4847.5
2013-01-11,3229.0416666666665,3452.6666666666665,3583.0,3583.0,3583.0,3583.0,3798.875,3379.5416666666665,3413.0,3336.9166666666665,3413.0,3583.0,3583.0,3583.0
2013-01-12,2387.7083333333335,3367.4166666666665,3391.9583333333335,3391.9583333333335,3391.9583333333335,3391.9583333333335,3391.9583333333335,3098.25,3391.2083333333335,3390.9166666666665,3391.2083333333335,3391.9583333333335,3391.9583333333335,3391.9583333333335
2013-01-13,3952.1666666666665,3935.7916666666665,3944.5833333333335,3944.5833333333335,3952.1666666666665,3952.1666666666665,3950.375,3952.1666666666665,3959.3333333333335,3890.375,3959.3333333333335,3944.5833333333335,3944.5833333333335,3903.4166666666665
2013-01-14,5130.916666666667,4629.375,4657.541666666667,4657.541666666667,5120.25,5120.25,4654.333333333333,5131.458333333333,5165.208333333333,3955.2916666666665,5165.208333333333,4657.541666666667,4657.541666666667,4657.541666666667
2013-01-15,5043.791666666667,4783.875,5043.75,5043.75,5043.75,5043.75,5043.75,5043.75,5055.375,4008.2916666666665,5055.375,5043.75,5043.75,5043.75
2013-01-16,5190.166666666667,5111.208333333333,5132.208333333333,5132.208333333333,5183.291666666667,5190.125,5132.208333333333,5190.125,5191.958333333333,4872.583333333333,5191.958333333333,5132.208333333333,5132.208333333333,5088.791666666667
2013-01-17,5356.375,5343.541666666667,5356.375,5356.375,5356.375,5356.375,5356.375,5356.375,5356.375,5246.75,5356.375,5356.375,5356.375,5356.375
2013-01-18,4791.375,4777.958333333333,4791.375,4791.375,4791.375,4791.375,4803.0,4791.375,4792.833333333333,4626.75,4792.833333333333,4791.375,4791.375,4740.416666666667
2013-01-19,3859.7916666666665,4015.9166666666665,4001.4583333333335,4001.4583333333335,4001.4583333333335,4001.4583333333335,4016.25,3859.8333333333335,4052.9166666666665,4041.75,4052.9166666666665,4001.4583333333335,4001.4583333333335,3956.875
2013-01-20,3647.875,3841.4166666666665,3833.3333333333335,3833.3333333333335,3833.3333333333335,3833.3333333333335,3834.0,3660.7916666666665,3881.7916666666665,3867.8333333333335,3881.7916666666665,3833.3333333333335,3833.3333333333335,3833.3333333333335
2013-01-21,3723.375,4122.583333333333,4145.833333333333,4145.833333333333,4145.833333333333,4145.833333333333,4145.833333333333,3882.2083333333335,4188.0,4019.7083333333335,4188.0,4145.833333333333,4145.833333333333,4132.875
2013-01-22,4774.75,4694.75,4652.25,4652.25,4872.833333333333,4872.833333333333,4642.125,4783.833333333333,4893.583333333333,4861.958333333333,4893.583333333333,4652.25,4652.25,4652.25
2013-01-23,5739.833333333333,5424.0,5373.583333333333,5373.583333333333,5739.833333333333,5739.833333333333,5363.583333333333,5739.833333333333,5728.083333333333,5286.541666666667,5728.083333333333,5373.583333333333,5373.583333333333,5362.833333333333
2013-01-24,5846.041666666667,5590.416666666667,5516.5,5516.5,5846.041666666667,5846.041666666667,5483.208333333333,5846.041666666667,5819.291666666667,5784.833333333333,5819.291666666667,5516.5,5516.5,5489.583333333333
2013-01-25,5090.083333333333,5086.666666666667,5093.791666666667,5093.791666666667,5093.791666666667,5093.791666666667,5093.791666666667,5090.083333333333,5077.208333333333,5009.166666666667,5077.208333333333,5093.791666666667,5093.791666666667,5073.333333333333
2013-01-26,3606.4583333333335,3750.2083333333335,3753.2083333333335,3753.2083333333335,3753.2083333333335,3753.2083333333335,3753.2083333333335,3610.7083333333335,3757.625,3757.625,3757.625,3753.2083333333335,3753.2083333333335,3753.2083333333335
2013-01-27,3112.125,3602.6666666666665,3605.5833333333335,3605.5833333333335,3605.5833333333335,3605.5833333333335,3605.5833333333335,3168.625,3640.0,3640.0,3640.0,3605.5833333333335,3605.5833333333335,3605.5833333333335
2013-01-28,3601.375,3774.875,3757.75,3757.75,3757.75,3757.75,3918.8333333333335,3601.375,3791.375,3791.375,3791.375,3757.75,3757.75,3757.75
2013-01-29,3141.5416666666665,3703.5833333333335,3686.4166666666665,3686.4166666666665,3686.4166666666665,3686.4166666666665,3752.5416666666665,3156.8333333333335,3738.6666666666665,3738.6666666666665,3738.6666666666665,3702.7083333333335,3702.7083333333335,3702.7083333333335
2013-01-30,2843.875,3557.75,3533.3333333333335,3533.3333333333335,3533.3333333333335,3533.3333333333335,3577.2916666666665,2847.5833333333335,3599.2083333333335,3599.2083333333335,3599.2083333333335,3552.8333333333335,3552.8333333333335,3552.8333333333335
2013-01-31,2780.1666666666665,3595.3333333333335,3534.625,3534.625,3534.625,3534.625,3552.0833333333335,2788.5,3626.125,3626.125,3626.125,3574.25,3574.25,3574.25
2013-02-01,3316.5,3667.5416666666665,3685.375,3685.375,3685.375,3685.375,3708.7916666666665,3316.5,3699.0833333333335,3634.375,3699.0833333333335,3685.375,3685.375,3685.375
2013-02-02,3619.75,3649.9166666666665,3632.9583333333335,3632.9583333333335,3632.9583333333335,3632.9583333333335,3632.9583333333335,3627.75,3677.0,3677.0,3677.0,3632.9583333333335,3632.9583333333335,3632.9583333333335
2013-02-03,3767.5416666666665,3909.9166666666665,3801.5416666666665,3801.5416666666665,3801.5416666666665,3801.5416666666665,4214.0,3790.1666666666665,3995.0833333333335,3995.0833333333335,3995.0833333333335,3813.6666666666665,3813.6666666666665,3808.2083333333335
2013-02-04,5617.375,5637.5,5617.375,5617.375,5617.375,5617.375,5617.375,5617.375,5634.625,5634.625,5871.125,5617.375,5617.375,5617.375
2013-02-05,3969.8333333333335,4171.375,3942.8333333333335,3942.8333333333335,3942.8333333333335,3957.375,3942.8333333333335,3969.8333333333335,4369.083333333333,4369.083333333333,4369.083333333333,3997.125,3997.125,3997.125
2013-02-06,3051.4583333333335,3051.5,3051.4583333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335,3052.8333333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335,3051.4583333333335
2013-02-07,3715.0833333333335,3322.2916666666665,3256.875,3256.875,3256.875,3669.7083333333335,3906.5,3715.0833333333335,3249.0,3249.0,3249.0,3256.875,3256.875,3256.875
